,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,time_signature,id,uri
10,0.442,0.619,1,-5.28,1,0.0321,0.0841,0.0,0.0889,0.382,128.318,audio_features,4,0rohJsT6NWsThpukt0Xxdc,spotify:track:0rohJsT6NWsThpukt0Xxdc
11,0.736,0.704,3,-7.409,0,0.0615,0.0203,0.0,0.0501,0.894,149.995,audio_features,4,27NovPIUIRrOZoCHxABJwK,spotify:track:27NovPIUIRrOZoCHxABJwK
12,0.896,0.586,10,-6.687,0,0.0559,0.104,0.0,0.79,0.642,116.971,audio_features,4,0nbXyq5TXYPCO7pr3N8S4I,spotify:track:0nbXyq5TXYPCO7pr3N8S4I
13,0.716,0.537,0,-7.648,0,0.0514,0.233,0.0,0.157,0.28,129.979,audio_features,4,39Yp9wwQiSRIDOvrVg7mbk,spotify:track:39Yp9wwQiSRIDOvrVg7mbk
14,0.716,0.946,1,-3.412,1,0.261,0.094,6.63e-05,0.0825,0.587,139.943,audio_features,4,6KigD0mlF4VGDYiSEzAyYw,spotify:track:6KigD0mlF4VGDYiSEzAyYw
15,0.563,0.902,1,-4.586,0,0.402,0.0545,0.0,0.0524,0.559,171.999,audio_features,4,2OQJKTtrH482waGFmOfJni,spotify:track:2OQJKTtrH482waGFmOfJni
16,0.833,0.434,2,-8.795,1,0.431,0.0102,0.0219,0.165,0.281,150.062,audio_features,4,0VgkVdmE4gld66l8iyGjgx,spotify:track:0VgkVdmE4gld66l8iyGjgx
17,0.746,0.687,1,-7.475,1,0.382,0.155,0.0,0.137,0.283,143.931,audio_features,4,6HfOzLLjsaXsehIFEsrxTk,spotify:track:6HfOzLLjsaXsehIFEsrxTk
18,0.503,0.783,0,-4.761,0,0.0385,0.0221,0.00223,0.14,0.213,125.122,audio_features,4,3S7A85bAWOd6ltk6r2ANOI,spotify:track:3S7A85bAWOd6ltk6r2ANOI
19,0.809,0.638,1,-7.268,0,0.257,0.0758,0.0,0.15,0.392,117.982,audio_features,4,6cQ08IpBxxfGcSKxqE3NmB,spotify:track:6cQ08IpBxxfGcSKxqE3NmB
20,0.664,0.781,9,-5.3,0,0.151,0.00575,0.0,0.139,0.343,127.919,audio_features,4,50Q24gRvLy128dfU2DDoao,spotify:track:50Q24gRvLy128dfU2DDoao
21,0.819,0.626,10,-4.574,0,0.202,0.00748,0.101,0.167,0.415,143.01,audio_features,4,5SWnsxjhdcEDc7LJjq9UHk,spotify:track:5SWnsxjhdcEDc7LJjq9UHk
22,0.461,0.897,3,-3.982,0,0.092,0.00821,0.0,0.0965,0.358,165.107,audio_features,4,4GssB27iJeqmfGxS94Tfij,spotify:track:4GssB27iJeqmfGxS94Tfij
23,0.448,0.825,4,-5.307,0,0.0621,0.00353,0.0,0.108,0.226,144.17,audio_features,4,4xDwCYhobDehSBGUmd5H6Y,spotify:track:4xDwCYhobDehSBGUmd5H6Y
24,0.493,0.936,1,-4.525,1,0.0331,8.53e-06,9.73e-05,0.358,0.683,93.501,audio_features,4,07huQEWGQAe7aJaeR08Cag,spotify:track:07huQEWGQAe7aJaeR08Cag
25,0.53,0.967,0,-2.108,1,0.0657,0.000507,0.205,0.0786,0.642,99.962,audio_features,4,5PZo9NMyNLxOlpEFoYo611,spotify:track:5PZo9NMyNLxOlpEFoYo611
26,0.5,0.936,5,-4.521,0,0.0744,0.00747,0.0,0.13,0.158,101.487,audio_features,4,7yGhfjsppOXSLcoSwcJ1yT,spotify:track:7yGhfjsppOXSLcoSwcJ1yT
27,0.335,0.79,11,-6.353,1,0.0398,0.0171,0.00324,0.112,0.399,159.971,audio_features,4,2dQsITxA8aFKL3pGW14TqG,spotify:track:2dQsITxA8aFKL3pGW14TqG
28,0.735,0.449,10,-7.507,1,0.347,0.629,0.0,0.113,0.0397,122.947,audio_features,4,4wVOKKEHUJxHCFFNUWDn0B,spotify:track:4wVOKKEHUJxHCFFNUWDn0B
29,0.598,0.427,7,-8.764,0,0.0317,0.0546,5.83e-06,0.21,0.0605,76.469,audio_features,4,3eekarcy7kvN4yt5ZFzltW,spotify:track:3eekarcy7kvN4yt5ZFzltW
30,0.277,0.663,4,-8.821,0,0.0377,0.000409,0.00051,0.136,0.527,104.561,audio_features,4,20I8RduZC2PWMWTDCZuuAN,spotify:track:20I8RduZC2PWMWTDCZuuAN
31,0.557,0.965,4,-0.84,0,0.0753,0.0107,0.139,0.052,0.298,150.005,audio_features,4,3zJTXgtzn4mr9YYanvSGfp,spotify:track:3zJTXgtzn4mr9YYanvSGfp
32,0.792,0.875,8,-4.128,1,0.0378,0.0366,0.743,0.123,0.587,90.006,audio_features,4,1fsw7gDi1ImuIkDQ58jtbl,spotify:track:1fsw7gDi1ImuIkDQ58jtbl
33,0.617,0.957,8,-3.15,1,0.173,0.0165,0.00128,0.208,0.109,125.039,audio_features,4,0adOv7C57abcznr40leSHx,spotify:track:0adOv7C57abcznr40leSHx
34,0.603,0.936,11,-2.163,0,0.422,0.0323,0.0,0.356,0.552,160.177,audio_features,4,6wb3aDPGNaXdshGBzpOAGA,spotify:track:6wb3aDPGNaXdshGBzpOAGA
35,0.467,0.934,2,-2.253,1,0.0588,0.00561,0.00186,0.107,0.135,149.967,audio_features,4,3iDtphWASBHIjVEB8lWBqs,spotify:track:3iDtphWASBHIjVEB8lWBqs
36,0.917,0.505,10,-8.73,0,0.331,0.278,0.00669,0.145,0.267,139.979,audio_features,4,0CLaGp0DMEjocSrAtvhcJl,spotify:track:0CLaGp0DMEjocSrAtvhcJl
37,0.732,0.961,1,-3.563,0,0.152,0.0551,0.72,0.0716,0.6,145.018,audio_features,4,7cpnqcFMN6Z7yiSOZyzGMU,spotify:track:7cpnqcFMN6Z7yiSOZyzGMU
38,0.712,0.481,4,-5.415,0,0.0487,0.173,0.0,0.241,0.062,140.0,audio_features,4,11kDth1aKUEUMq9r1pqyds,spotify:track:11kDth1aKUEUMq9r1pqyds
39,0.752,0.617,7,-5.68,1,0.0544,0.0319,0.0,0.261,0.137,144.006,audio_features,4,5KcZNsrl7PMIxJ2xBbTwH3,spotify:track:5KcZNsrl7PMIxJ2xBbTwH3
40,0.81,0.68,2,-4.871,1,0.346,0.0059,0.0,0.112,0.419,97.02,audio_features,4,6C0vyXq2uzFRTTLcE4whhl,spotify:track:6C0vyXq2uzFRTTLcE4whhl
41,0.542,0.914,0,-4.747,0,0.113,0.0161,0.0,0.744,0.576,153.993,audio_features,4,2gZUPNdnz5Y45eiGxpHGSc,spotify:track:2gZUPNdnz5Y45eiGxpHGSc
42,0.749,0.794,0,-5.063,1,0.064,0.0193,0.0,0.543,0.46,135.959,audio_features,4,2SL6oP2YAEQbqsrkOzRGO4,spotify:track:2SL6oP2YAEQbqsrkOzRGO4
43,0.617,0.794,1,-5.506,0,0.0415,0.366,7.01e-05,0.0848,0.339,149.796,audio_features,4,2WG0gMuRku7LfFObheSXID,spotify:track:2WG0gMuRku7LfFObheSXID
44,0.621,0.989,10,-4.225,0,0.0434,0.015,0.357,0.184,0.0348,126.002,audio_features,4,2prnn41CblB8B4yWACDljP,spotify:track:2prnn41CblB8B4yWACDljP
45,0.901,0.934,11,-2.345,1,0.273,0.00794,7.68e-05,0.194,0.868,150.037,audio_features,4,65ES1qwOB577ZnTkizMXJJ,spotify:track:65ES1qwOB577ZnTkizMXJJ
46,0.727,0.72,3,-8.755,0,0.179,0.139,0.0,0.0721,0.553,140.07,audio_features,4,3vcX4GCAbXAkCJtwNqyeHv,spotify:track:3vcX4GCAbXAkCJtwNqyeHv
47,0.698,0.765,5,-4.562,1,0.291,0.169,0.0,0.39,0.589,84.94,audio_features,4,6xbZaeFj8BPE3HGXF7VVjX,spotify:track:6xbZaeFj8BPE3HGXF7VVjX
48,0.289,0.939,9,-4.135,0,0.341,0.0147,2.93e-05,0.352,0.144,154.928,audio_features,4,1NlbmDUSYds1GJWHQkhm1D,spotify:track:1NlbmDUSYds1GJWHQkhm1D
49,0.484,0.93,10,-4.46,0,0.0487,0.0443,0.487,0.166,0.128,138.079,audio_features,4,2kQvw0jH3JKKWVBccDPK9Y,spotify:track:2kQvw0jH3JKKWVBccDPK9Y
50,0.696,0.934,8,-4.051,1,0.267,0.0129,0.0,0.153,0.472,124.017,audio_features,4,5ofHoV0ywhsZUOArK1Oa1h,spotify:track:5ofHoV0ywhsZUOArK1Oa1h
51,0.406,0.91,10,-3.916,0,0.0594,0.0052,0.00236,0.0783,0.239,127.974,audio_features,4,2Y6I8OVTgvz1Yuch4oQJcO,spotify:track:2Y6I8OVTgvz1Yuch4oQJcO
