danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,time_signature,id,uri
0.143,0.0038,0,-39.28,1,0.046,0.955,0.92,0.105,0.0676,140.533,audio_features,3,74jdFBI7LmTV2FMdd5qTh3,spotify:track:74jdFBI7LmTV2FMdd5qTh3
0.0696,0.00257,2,-37.724,1,0.0459,0.987,0.952,0.117,0.0861,76.27,audio_features,3,6yy6c0Oy0fg69Zy0htgXsm,spotify:track:6yy6c0Oy0fg69Zy0htgXsm
0.0697,0.00166,0,-35.903,1,0.0457,0.971,0.875,0.117,0.119,77.445,audio_features,5,7ofIUuvWCuvoaFvlFYZ81d,spotify:track:7ofIUuvWCuvoaFvlFYZ81d
0.131,0.00751,5,-38.885,1,0.0421,0.968,0.895,0.0902,0.0494,78.913,audio_features,3,4CDYt47BwYVotSySNDNlge,spotify:track:4CDYt47BwYVotSySNDNlge
0.215,0.0396,11,-34.184,1,0.0417,0.991,0.902,0.101,0.0358,72.154,audio_features,4,0dTDnqM4UuT1RMQE2l915Y,spotify:track:0dTDnqM4UuT1RMQE2l915Y
0.177,0.0144,2,-35.892,1,0.0405,0.788,0.684,0.126,0.11,72.597,audio_features,4,2caSMfpQAY2wTvb3kgYirk,spotify:track:2caSMfpQAY2wTvb3kgYirk
0.142,0.0107,2,-32.067,1,0.041,0.915,0.874,0.102,0.0837,69.889,audio_features,3,2b0Sl3lyI3p4qZSYlVaGKg,spotify:track:2b0Sl3lyI3p4qZSYlVaGKg
0.191,0.00313,2,-37.359,1,0.0397,0.964,0.94,0.103,0.115,74.36,audio_features,4,3KNdyoMQqMxmVDAMN22ws9,spotify:track:3KNdyoMQqMxmVDAMN22ws9
0.238,0.00577,7,-39.097,1,0.0434,0.97,0.935,0.0866,0.229,75.546,audio_features,4,22Gxnq14IyFZgPcoohx5qQ,spotify:track:22Gxnq14IyFZgPcoohx5qQ
0.146,0.00142,2,-38.484,1,0.0469,0.937,0.93,0.117,0.309,137.159,audio_features,3,1xSShAVCtaLdetNXE5TcnQ,spotify:track:1xSShAVCtaLdetNXE5TcnQ
0.293,0.00254,1,-35.606,1,0.0425,0.992,0.724,0.116,0.0316,71.215,audio_features,3,6GFBrLr4HbsKqra7MSiluq,spotify:track:6GFBrLr4HbsKqra7MSiluq
